Time	Node	Type	Packets	
1	callee	CacheHits	0
1	callee	CacheMisses	203
1	caller	CacheHits	0
1	caller	CacheMisses	203
1	rtr-1	CacheHits	0
1	rtr-1	CacheMisses	203
2	callee	CacheHits	0
2	callee	CacheMisses	189
2	caller	CacheHits	0
2	caller	CacheMisses	189
2	rtr-1	CacheHits	0
2	rtr-1	CacheMisses	189
3	callee	CacheHits	0
3	callee	CacheMisses	186
3	caller	CacheHits	0
3	caller	CacheMisses	187
3	rtr-1	CacheHits	0
3	rtr-1	CacheMisses	186
4	callee	CacheHits	0
4	callee	CacheMisses	198
4	caller	CacheHits	0
4	caller	CacheMisses	197
4	rtr-1	CacheHits	0
4	rtr-1	CacheMisses	198
5	callee	CacheHits	0
5	callee	CacheMisses	215
5	caller	CacheHits	0
5	caller	CacheMisses	214
5	rtr-1	CacheHits	0
5	rtr-1	CacheMisses	215
6	callee	CacheHits	0
6	callee	CacheMisses	200
6	caller	CacheHits	0
6	caller	CacheMisses	200
6	rtr-1	CacheHits	0
6	rtr-1	CacheMisses	199
7	callee	CacheHits	0
7	callee	CacheMisses	218
7	caller	CacheHits	0
7	caller	CacheMisses	218
7	rtr-1	CacheHits	0
7	rtr-1	CacheMisses	218
8	callee	CacheHits	0
8	callee	CacheMisses	188
8	caller	CacheHits	0
8	caller	CacheMisses	190
8	rtr-1	CacheHits	0
8	rtr-1	CacheMisses	188
9	callee	CacheHits	0
9	callee	CacheMisses	192
9	caller	CacheHits	0
9	caller	CacheMisses	191
9	rtr-1	CacheHits	0
9	rtr-1	CacheMisses	192
10	callee	CacheHits	0
10	callee	CacheMisses	220
10	caller	CacheHits	0
10	caller	CacheMisses	219
10	rtr-1	CacheHits	0
10	rtr-1	CacheMisses	219
11	callee	CacheHits	0
11	callee	CacheMisses	215
11	caller	CacheHits	0
11	caller	CacheMisses	216
11	rtr-1	CacheHits	0
11	rtr-1	CacheMisses	216
12	callee	CacheHits	0
12	callee	CacheMisses	191
12	caller	CacheHits	0
12	caller	CacheMisses	192
12	rtr-1	CacheHits	0
12	rtr-1	CacheMisses	191
13	callee	CacheHits	0
13	callee	CacheMisses	209
13	caller	CacheHits	0
13	caller	CacheMisses	208
13	rtr-1	CacheHits	0
13	rtr-1	CacheMisses	209
14	callee	CacheHits	0
14	callee	CacheMisses	218
14	caller	CacheHits	0
14	caller	CacheMisses	218
14	rtr-1	CacheHits	0
14	rtr-1	CacheMisses	218
15	callee	CacheHits	0
15	callee	CacheMisses	191
15	caller	CacheHits	0
15	caller	CacheMisses	191
15	rtr-1	CacheHits	0
15	rtr-1	CacheMisses	191
16	callee	CacheHits	0
16	callee	CacheMisses	219
16	caller	CacheHits	0
16	caller	CacheMisses	218
16	rtr-1	CacheHits	0
16	rtr-1	CacheMisses	218
17	callee	CacheHits	0
17	callee	CacheMisses	208
17	caller	CacheHits	0
17	caller	CacheMisses	209
17	rtr-1	CacheHits	0
17	rtr-1	CacheMisses	209
18	callee	CacheHits	0
18	callee	CacheMisses	202
18	caller	CacheHits	0
18	caller	CacheMisses	203
18	rtr-1	CacheHits	0
18	rtr-1	CacheMisses	202
19	callee	CacheHits	0
19	callee	CacheMisses	216
19	caller	CacheHits	0
19	caller	CacheMisses	215
19	rtr-1	CacheHits	0
19	rtr-1	CacheMisses	216
20	callee	CacheHits	0
20	callee	CacheMisses	214
20	caller	CacheHits	0
20	caller	CacheMisses	214
20	rtr-1	CacheHits	0
20	rtr-1	CacheMisses	214
21	callee	CacheHits	0
21	callee	CacheMisses	189
21	caller	CacheHits	0
21	caller	CacheMisses	189
21	rtr-1	CacheHits	0
21	rtr-1	CacheMisses	189
22	callee	CacheHits	0
22	callee	CacheMisses	187
22	caller	CacheHits	0
22	caller	CacheMisses	187
22	rtr-1	CacheHits	0
22	rtr-1	CacheMisses	187
23	callee	CacheHits	0
23	callee	CacheMisses	205
23	caller	CacheHits	0
23	caller	CacheMisses	205
23	rtr-1	CacheHits	0
23	rtr-1	CacheMisses	205
