Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.5	callee	1	internal://	InInterests	0	0	0	0
0.5	callee	1	internal://	OutInterests	0	0	0	0
0.5	callee	1	internal://	InData	0	0	0	0
0.5	callee	1	internal://	OutData	0	0	0	0
0.5	callee	1	internal://	InNacks	0	0	0	0
0.5	callee	1	internal://	OutNacks	0	0	0	0
0.5	callee	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	callee	1	internal://	InTimedOutInterests	0	0	0	0
0.5	callee	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	callee	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	callee	256	netdev://[00:00:00:00:00:01]	InInterests	81.6	2.70938	51	1.69336
0.5	callee	256	netdev://[00:00:00:00:00:01]	OutInterests	72	2.39062	45	1.49414
0.5	callee	256	netdev://[00:00:00:00:00:01]	InData	0	0	0	0
0.5	callee	256	netdev://[00:00:00:00:00:01]	OutData	0	0	0	0
0.5	callee	256	netdev://[00:00:00:00:00:01]	InNacks	72	2.39062	45	1.49414
0.5	callee	256	netdev://[00:00:00:00:00:01]	OutNacks	81.6	2.70938	51	1.69336
0.5	callee	256	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	0	0	0	0
0.5	callee	256	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
0.5	callee	256	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	0	0	0	0
0.5	callee	256	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
0.5	callee	257	internal://	InInterests	0	0	0	0
0.5	callee	257	internal://	OutInterests	0	0	0	0
0.5	callee	257	internal://	InData	0	0	0	0
0.5	callee	257	internal://	OutData	0	0	0	0
0.5	callee	257	internal://	InNacks	0	0	0	0
0.5	callee	257	internal://	OutNacks	0	0	0	0
0.5	callee	257	internal://	InSatisfiedInterests	3.2	0	2	0
0.5	callee	257	internal://	InTimedOutInterests	0	0	0	0
0.5	callee	257	internal://	OutSatisfiedInterests	0	0	0	0
0.5	callee	257	internal://	OutTimedOutInterests	0	0	0	0
0.5	callee	258	appFace://	InInterests	72	2.39062	45	1.49414
0.5	callee	258	appFace://	OutInterests	0	0	0	0
0.5	callee	258	appFace://	InData	0	0	0	0
0.5	callee	258	appFace://	OutData	0	0	0	0
0.5	callee	258	appFace://	InNacks	0	0	0	0
0.5	callee	258	appFace://	OutNacks	72	2.39062	45	1.49414
0.5	callee	258	appFace://	InSatisfiedInterests	0	0	0	0
0.5	callee	258	appFace://	InTimedOutInterests	0	0	0	0
0.5	callee	258	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	callee	258	appFace://	OutTimedOutInterests	0	0	0	0
