Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
5.01117	caller	0	488	LastDelay	0.00401837	4018.37	1	2
5.01117	caller	0	488	FullDelay	0.00401837	4018.37	1	2
5.02774	caller	0	489	LastDelay	0.00401837	4018.37	1	2
5.02774	caller	0	489	FullDelay	0.00401837	4018.37	1	2
5.04743	caller	0	490	LastDelay	0.00401837	4018.37	1	2
5.04743	caller	0	490	FullDelay	0.00401837	4018.37	1	2
5.06304	caller	0	0	LastDelay	0.00401833	4018.33	1	2
5.06304	caller	0	0	FullDelay	5.06304	5.06304e+06	3	2
5.0654	caller	0	1	LastDelay	0.00401833	4018.33	1	2
5.0654	caller	0	1	FullDelay	5.05239	5.05239e+06	3	2
5.08149	caller	0	2	LastDelay	0.00401833	4018.33	1	2
5.08149	caller	0	2	FullDelay	5.0575	5.0575e+06	3	2
5.09699	caller	0	3	LastDelay	0.00401833	4018.33	1	2
5.09699	caller	0	3	FullDelay	5.06185	5.06185e+06	3	2
5.10623	caller	0	4	LastDelay	0.00401833	4018.33	1	2
5.10623	caller	0	4	FullDelay	5.05936	5.05936e+06	3	2
5.12551	caller	0	5	LastDelay	0.00401833	4018.33	1	2
5.12551	caller	0	5	FullDelay	5.06814	5.06814e+06	2	2
5.13285	caller	0	6	LastDelay	0.00401833	4018.33	1	2
5.13285	caller	0	6	FullDelay	5.0662	5.0662e+06	2	2
5.14324	caller	0	7	LastDelay	0.00401833	4018.33	1	2
5.14324	caller	0	7	FullDelay	5.05851	5.05851e+06	2	2
5.16169	caller	0	8	LastDelay	0.00401833	4018.33	1	2
5.16169	caller	0	8	FullDelay	5.06796	5.06796e+06	2	2
5.17397	caller	0	9	LastDelay	0.00401833	4018.33	1	2
5.17397	caller	0	9	FullDelay	5.07396	5.07396e+06	2	2
5.18071	caller	0	10	LastDelay	0.00401833	4018.33	1	2
5.18071	caller	0	10	FullDelay	5.07763	5.07763e+06	2	2
5.18109	caller	0	11	LastDelay	0.00401833	4018.33	1	2
5.18109	caller	0	11	FullDelay	5.07258	5.07258e+06	2	2
5.19986	caller	0	12	LastDelay	0.00401833	4018.33	1	2
5.19986	caller	0	12	FullDelay	5.08672	5.08672e+06	2	2
5.20524	caller	0	13	LastDelay	0.00401833	4018.33	1	2
5.20524	caller	0	13	FullDelay	5.0723	5.0723e+06	2	2
5.20906	caller	0	14	LastDelay	0.00401833	4018.33	1	2
5.20906	caller	0	14	FullDelay	5.05964	5.05964e+06	2	2
5.22759	caller	0	15	LastDelay	0.00401833	4018.33	1	2
5.22759	caller	0	15	FullDelay	5.07448	5.07448e+06	2	2
5.23551	caller	0	16	LastDelay	0.00401833	4018.33	1	2
5.23551	caller	0	16	FullDelay	5.07985	5.07985e+06	2	2
5.24317	caller	0	17	LastDelay	0.00401833	4018.33	1	2
5.24317	caller	0	17	FullDelay	5.07574	5.07574e+06	2	2
5.24867	caller	0	18	LastDelay	0.00401833	4018.33	1	2
5.24867	caller	0	18	FullDelay	5.08056	5.08056e+06	2	2
5.26318	caller	0	19	LastDelay	0.00401833	4018.33	1	2
5.26318	caller	0	19	FullDelay	5.08352	5.08352e+06	2	2
5.28005	caller	0	20	LastDelay	0.00401833	4018.33	1	2
5.28005	caller	0	20	FullDelay	5.09849	5.09849e+06	2	2
5.29549	caller	0	21	LastDelay	0.00401833	4018.33	1	2
5.29549	caller	0	21	FullDelay	5.11047	5.11047e+06	2	2
5.30901	caller	0	22	LastDelay	0.00401833	4018.33	1	2
5.30901	caller	0	22	FullDelay	5.11528	5.11528e+06	2	2
5.32229	caller	0	23	LastDelay	0.00401833	4018.33	1	2
5.32229	caller	0	23	FullDelay	5.11162	5.11162e+06	2	2
5.33485	caller	0	24	LastDelay	0.00401833	4018.33	1	2
5.33485	caller	0	24	FullDelay	5.11052	5.11052e+06	2	2
5.34415	caller	0	25	LastDelay	0.00401833	4018.33	1	2
