Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.5	callee	combined	Drop	0	0	0	0
0.5	caller	combined	Drop	0	0	0	0
0.5	rtr-1	combined	Drop	0	0	0	0
1	callee	combined	Drop	0	0	0	0
1	caller	combined	Drop	0	0	0	0
1	rtr-1	combined	Drop	0	0	0	0
1.5	callee	combined	Drop	0	0	0	0
1.5	caller	combined	Drop	0	0	0	0
1.5	rtr-1	combined	Drop	0	0	0	0
2	callee	combined	Drop	0	0	0	0
2	caller	combined	Drop	0	0	0	0
2	rtr-1	combined	Drop	0	0	0	0
2.5	callee	combined	Drop	0	0	0	0
2.5	caller	combined	Drop	0	0	0	0
2.5	rtr-1	combined	Drop	0	0	0	0
3	callee	combined	Drop	0	0	0	0
3	caller	combined	Drop	0	0	0	0
3	rtr-1	combined	Drop	0	0	0	0
3.5	callee	combined	Drop	0	0	0	0
3.5	caller	combined	Drop	0	0	0	0
3.5	rtr-1	combined	Drop	0	0	0	0
4	callee	combined	Drop	0	0	0	0
4	caller	combined	Drop	0	0	0	0
4	rtr-1	combined	Drop	0	0	0	0
4.5	callee	combined	Drop	0	0	0	0
4.5	caller	combined	Drop	0	0	0	0
4.5	rtr-1	combined	Drop	0	0	0	0
5	callee	combined	Drop	0	0	0	0
5	caller	combined	Drop	0	0	0	0
5	rtr-1	combined	Drop	0	0	0	0
5.5	callee	combined	Drop	0	0	0	0
5.5	caller	combined	Drop	0	0	0	0
5.5	rtr-1	combined	Drop	0	0	0	0
6	callee	combined	Drop	0	0	0	0
6	caller	combined	Drop	0	0	0	0
6	rtr-1	combined	Drop	0	0	0	0
6.5	callee	combined	Drop	0	0	0	0
6.5	caller	combined	Drop	0	0	0	0
6.5	rtr-1	combined	Drop	0	0	0	0
7	callee	combined	Drop	0	0	0	0
7	caller	combined	Drop	0	0	0	0
7	rtr-1	combined	Drop	0	0	0	0
7.5	callee	combined	Drop	0	0	0	0
7.5	caller	combined	Drop	0	0	0	0
7.5	rtr-1	combined	Drop	0	0	0	0
8	callee	combined	Drop	0	0	0	0
8	caller	combined	Drop	0	0	0	0
8	rtr-1	combined	Drop	0	0	0	0
8.5	callee	combined	Drop	0	0	0	0
8.5	caller	combined	Drop	0	0	0	0
8.5	rtr-1	combined	Drop	0	0	0	0
9	callee	combined	Drop	0	0	0	0
9	caller	combined	Drop	0	0	0	0
9	rtr-1	combined	Drop	0	0	0	0
9.5	callee	combined	Drop	0	0	0	0
9.5	caller	combined	Drop	0	0	0	0
9.5	rtr-1	combined	Drop	0	0	0	0
10	callee	combined	Drop	0	0	0	0
10	caller	combined	Drop	0	0	0	0
10	rtr-1	combined	Drop	0	0	0	0
10.5	callee	combined	Drop	0	0	0	0
10.5	caller	combined	Drop	0	0	0	0
10.5	rtr-1	combined	Drop	0	0	0	0
11	callee	combined	Drop	0	0	0	0
11	caller	combined	Drop	0	0	0	0
11	rtr-1	combined	Drop	0	0	0	0
11.5	callee	combined	Drop	0	0	0	0
11.5	caller	combined	Drop	0	0	0	0
11.5	rtr-1	combined	Drop	0	0	0	0
12	callee	combined	Drop	0	0	0	0
12	caller	combined	Drop	0	0	0	0
12	rtr-1	combined	Drop	0	0	0	0
12.5	callee	combined	Drop	0	0	0	0
12.5	caller	combined	Drop	0	0	0	0
12.5	rtr-1	combined	Drop	0	0	0	0
13	callee	combined	Drop	0	0	0	0
13	caller	combined	Drop	0	0	0	0
13	rtr-1	combined	Drop	0	0	0	0
13.5	callee	combined	Drop	0	0	0	0
13.5	caller	combined	Drop	0	0	0	0
13.5	rtr-1	combined	Drop	0	0	0	0
14	callee	combined	Drop	0	0	0	0
14	caller	combined	Drop	0	0	0	0
14	rtr-1	combined	Drop	0	0	0	0
14.5	callee	combined	Drop	0	0	0	0
14.5	caller	combined	Drop	0	0	0	0
14.5	rtr-1	combined	Drop	0	0	0	0
15	callee	combined	Drop	0	0	0	0
15	caller	combined	Drop	0	0	0	0
15	rtr-1	combined	Drop	0	0	0	0
15.5	callee	combined	Drop	0	0	0	0
15.5	caller	combined	Drop	0	0	0	0
15.5	rtr-1	combined	Drop	0	0	0	0
16	callee	combined	Drop	0	0	0	0
16	caller	combined	Drop	0	0	0	0
16	rtr-1	combined	Drop	0	0	0	0
16.5	callee	combined	Drop	0	0	0	0
16.5	caller	combined	Drop	0	0	0	0
16.5	rtr-1	combined	Drop	0	0	0	0
17	callee	combined	Drop	0	0	0	0
17	caller	combined	Drop	0	0	0	0
17	rtr-1	combined	Drop	0	0	0	0
17.5	callee	combined	Drop	0	0	0	0
17.5	caller	combined	Drop	0	0	0	0
17.5	rtr-1	combined	Drop	0	0	0	0
18	callee	combined	Drop	0	0	0	0
18	caller	combined	Drop	0	0	0	0
18	rtr-1	combined	Drop	0	0	0	0
18.5	callee	combined	Drop	0	0	0	0
18.5	caller	combined	Drop	0	0	0	0
18.5	rtr-1	combined	Drop	0	0	0	0
19	callee	combined	Drop	0	0	0	0
19	caller	combined	Drop	0	0	0	0
19	rtr-1	combined	Drop	0	0	0	0
19.5	callee	combined	Drop	0	0	0	0
19.5	caller	combined	Drop	0	0	0	0
19.5	rtr-1	combined	Drop	0	0	0	0
20	callee	combined	Drop	0	0	0	0
20	caller	combined	Drop	0	0	0	0
20	rtr-1	combined	Drop	0	0	0	0
20.5	callee	combined	Drop	0	0	0	0
20.5	caller	combined	Drop	0	0	0	0
20.5	rtr-1	combined	Drop	0	0	0	0
21	callee	combined	Drop	0	0	0	0
21	caller	combined	Drop	0	0	0	0
